Name,Price
"Vivo V9 (19:9 FullView Display, Gold) with Offers","22,990"
OnePlus 5T (Midnight Black 6GB RAM + 64GB memory),"32,999"
"Vivo V9 (19:9 FullView Display, Pearl Black) with Offers","22,990"
"Redmi Y1 (Gold, 32GB)","6,999"
"Redmi Y1 Lite (Gold,16GB)","7,990"
Samsung On7 Pro (Gold),"12,999"
"Moto G5s Plus (Lunar Grey, 64GB)","8,499"
"Redmi 4 (Black, 32 GB)","12,999"
"Honor 7X (Blue, 4GB RAM + 32GB memory)","8,499"
"Redmi 4 (Gold, 32GB)","8,999"
"Redmi Y1 (Dark Grey, 32GB)","10,999"
"Redmi Note 4 (Black, 64GB)","13,990"
"Samsung Galaxy On7 Prime (Black, 4GB RAM + 64GB Memory)","30,990"
"Samsung Galaxy A8+ (Black, 6GB RAM + 64GB Memory)","5,999"
"10.or D (Beyond Black, 3 GB)","8,690"
"Samsung Galaxy J5 2016 (White, 16GB)","11,990"
"Samsung Galaxy On7 Prime (Black, 3GB RAM + 32GB Memory)","10,999"
"Redmi Y1 (Gold, 64GB)","13,990"
"Samsung Galaxy On7 Prime (Gold, 4GB RAM + 64GB Memory)","6,999"
"10.or E (Beyond Black, 3 GB)","6,990"
Samsung On5 Pro (Gold),"12,999"
"Honor 7X (Black, 4GB RAM + 32GB memory)","11,650"
"Lenovo K8 Note (Venom Black, 4GB) with New System Update","12,999"
